City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,santa marta de ortigueira,43.6833,-7.85,19.79,77,0,1.68,ES,1694743463
83,port lincoln,-34.7333,135.8667,17.7,56,6,4.53,AU,1694743397
84,punta arenas,-53.15,-70.9167,2.06,75,0,2.57,CL,1694743464
85,invercargill,-46.4,168.35,10.01,72,92,8.05,NZ,1694743464
86,maceio,-9.6658,-35.7353,23.69,100,75,1.03,BR,1694743217
87,nogliki,51.8333,143.1667,18.24,57,37,5.46,RU,1694743465
88,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,44,20,4.0,RU,1694743465
89,susuman,62.7833,148.1667,5.46,61,99,1.59,RU,1694743465
90,boende,-0.2167,20.8667,21.62,96,84,0.72,CD,1694743465
91,east london,-33.0153,27.9116,14.53,77,56,3.43,ZA,1694743466
92,vorgashor,67.5833,63.95,10.21,94,100,2.91,RU,1694743466
93,dawei,14.0833,98.2,24.76,97,100,5.07,MM,1694743466
94,bunia,1.5667,30.25,16.42,97,100,1.21,CD,1694743466
95,dudinka,69.4058,86.1778,4.79,79,100,4.4,RU,1694743467
96,khandyga,62.6667,135.6,6.6,77,100,2.01,RU,1694743467
97,ola,59.5833,151.2833,9.69,69,3,3.56,RU,1694743467
98,bundaberg,-24.85,152.35,25.68,47,11,1.34,AU,1694743468
99,nyrob,60.733,56.7202,8.89,95,52,1.0,RU,1694743468
100,pisco,-13.7,-76.2167,18.03,77,75,6.69,PE,1694743468
101,olonkinbyen,70.9221,-8.7187,5.13,80,100,3.36,SJ,1694743469
102,kuopio,62.8924,27.677,7.9,87,0,3.09,FI,1694743469
103,astrakhan,46.3497,48.0408,13.93,93,6,3.13,RU,1694743231
104,kabare,-2.4683,28.8242,16.46,89,65,0.55,CD,1694743469
105,sangli,16.8544,74.5642,21.91,89,100,3.85,IN,1694743470
106,pathein,16.7833,94.7333,27.98,83,100,3.27,MM,1694743470
107,dongobesh,-4.0667,35.3833,10.93,88,15,3.01,TZ,1694743470
108,blackmans bay,-43.0167,147.3167,19.07,49,48,5.02,AU,1694743470
109,nova sintra,14.8667,-24.7167,24.61,78,32,3.87,CV,1694743471
110,as sulayyil,20.4607,45.5779,28.14,14,6,2.46,SA,1694743471
111,kidal,18.4411,1.4078,32.41,33,61,2.82,ML,1694743471
112,puerto deseado,-47.7503,-65.8938,6.66,86,100,7.22,AR,1694743471
113,karratha,-20.7377,116.8463,28.88,26,0,0.35,AU,1694743472
114,ubari,26.5921,12.7805,23.84,24,0,3.98,LY,1694743472
115,buala,-8.145,159.5921,27.9,77,100,1.89,SB,1694743472
116,ondangwa,-17.9167,15.95,21.0,18,0,3.09,NA,1694743472
117,alofi,-19.0595,-169.9187,26.94,61,40,5.66,NU,1694743328
118,ust-nera,64.5667,143.2,5.5,71,97,2.91,RU,1694743473
119,puerto baquerizo moreno,-0.9,-89.6,22.95,79,98,6.84,EC,1694743473
120,hermanus,-34.4187,19.2345,16.0,75,82,15.25,ZA,1694743473
121,renfrew,55.872,-4.3925,11.4,89,100,1.54,GB,1694743474
122,port mathurin,-19.6833,63.4167,22.97,70,100,7.02,MU,1694743474
123,camana,-16.6228,-72.7111,17.52,83,53,2.06,PE,1694743474
124,outjo,-20.1167,16.15,17.9,12,0,2.68,NA,1694743474
125,lastoursville,-0.8143,12.7287,22.87,97,100,1.24,GA,1694743475
126,beaugency,47.7802,1.6271,13.93,76,1,2.37,FR,1694743475
127,namibe,-15.1961,12.1522,16.1,94,20,1.39,AO,1694743475
128,fort mcmurray,56.7268,-111.381,18.77,48,0,4.63,CA,1694743387
129,utrik,11.2278,169.8474,28.57,77,100,6.05,MH,1694743476
130,katsuura,35.1333,140.3,29.09,76,99,2.02,JP,1694743476
131,fort bragg,35.139,-79.006,23.61,73,0,3.6,US,1694743476
132,udachny,66.4167,112.4,8.88,93,100,9.11,RU,1694743476
133,tazovsky,67.4667,78.7,8.63,85,94,3.17,RU,1694743477
134,techiman,7.5862,-1.9414,21.32,99,87,1.88,GH,1694743477
135,papatowai,-46.5619,169.4708,8.6,73,85,7.83,NZ,1694743477
136,nainpur,22.4333,80.1167,23.31,98,100,3.29,IN,1694743477
137,kodinsk,58.6881,99.1844,13.02,55,5,0.48,RU,1694743478
138,mukalla,14.5425,49.1242,29.03,78,60,1.58,YE,1694743292
139,san antonio de pale,-1.4014,5.6325,23.64,84,81,4.91,GQ,1694743300
140,salekhard,66.53,66.6019,11.41,88,5,3.39,RU,1694743478
141,rongelap,11.1635,166.8941,28.65,77,30,6.36,MH,1694743478
142,yemva,62.59,50.8594,9.74,89,18,2.79,RU,1694743479
143,newman,37.3138,-121.0208,32.13,48,0,3.2,US,1694743479
144,xilin hot,43.9667,116.0333,24.3,40,100,7.42,CN,1694743479
145,lagos,6.5833,3.75,26.18,97,100,1.0,NG,1694743263
146,shenjiamen,29.9576,122.298,26.85,76,89,0.75,CN,1694743480
147,ad douiem,14.0012,32.3116,30.03,50,52,5.95,SD,1694743480
148,ilulissat,69.2167,-51.1,4.01,70,100,7.2,GL,1694743480
